n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,2,125,1,,931.8919906140072,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.6,0.0520749087209774,0.07024703577483801,0.019262968189979773,0.02272338570460012,0.046218564860046926,0.06309799041800389,0.014647675881047095,0.017585782288972993,0.29433031459164566,0.3021212611269474,0.1351825082807569,0.5667630767611805
1000,base1,0,123,1,,988.3206631370122,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.6,0.05274510861573332,0.07134792293049386,0.019874104874760296,0.02578002256757645,0.047194769545299026,0.06491633608361658,0.026667766760463923,0.029388462951340906,0.33483771496531484,0.3429055285342664,0.22123240808743672,0.6830237544200325
1000,base1,2,125,1,,1002.0879980989848,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.04889307366818189,0.06456818674841024,0.015861626466648016,0.01760693805241396,0.048942429970059986,0.06464573646347291,0.016160293109033608,0.017534382311049916,0.2849064241351605,0.2945105373691836,0.01792380186046353,0.4033260492843178
1000,base1,1,124,1,,1008.021459275973,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.3,0.04978863854327239,0.06783777761504671,0.024957659782837233,0.030968366041796567,0.048621194909803704,0.06626479160457947,0.027161337738459856,0.03261764565744014,0.37194217979352984,0.38172847151479905,0.08207215660996489,0.5743726357494812
1000,base1,1,124,1,,1011.7839665939682,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.6,0.04985993331904043,0.06822508644889218,0.02711256127976233,0.034388665867012454,0.044551776008350724,0.06102808068555513,0.02946659120610126,0.03572329258897501,0.3705202825963467,0.3809670533520303,0.16314590634828302,0.6970168799649572
1000,base1,0,123,1,,1027.136858992977,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.052750318465247685,0.07553554725784978,0.019814341710950298,0.020836200365893287,0.052849894443647925,0.07584745763485803,0.01958611764879685,0.021260638804043573,0.2861290520804139,0.29519099200495325,0.01380275459161693,0.40488745016443994
1000,base1,2,125,1,,1076.390547153016,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.3,0.051961279642137,0.07012887934321052,0.016080244567264812,0.020715148477136916,0.05052234989222854,0.0685245288542524,0.014113851858164134,0.01906043714878202,0.298851085611626,0.3068508210426387,0.05887759010159954,0.46142506158546104
1000,base1,0,123,1,,1101.31098794,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.3,0.0525141406119155,0.07150960749650863,0.019791130798758938,0.02474605649687282,0.05157101521150179,0.07049873835667318,0.024867746221423126,0.028045657243057003,0.3237303654950347,0.33118463501379064,0.15107834501938935,0.5376195272976017
1000,base1,1,124,1,,1123.0922627020045,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.9,0.04978543489417025,0.06850608130655539,0.02877723704126553,0.037677312952544284,0.03570571196762031,0.04968082696943328,0.02999590350956835,0.037216798481773,0.36938246228400873,0.3806780213961651,0.24479095299216347,0.8642117407869901
1000,base1,1,124,1,,1125.6250506180222,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,0.0,0.04759699440113233,0.06570871610641142,0.022204525187819596,0.02659589847518915,0.04783518669812717,0.06632865542817382,0.022845416791551332,0.02885760535602487,0.36417417692001136,0.3737666509409943,0.020560637160727244,0.5153517906192404
